generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
309,10000,37.265544554455445,59.0,1.0,1.0,1.0,45,51.4861
310,10000,38.000990099009904,62.0,1.0,1.0,1.0,52,51.651
311,10000,38.866534653465344,66.0,1.0,1.0,1.0,53,51.8235
312,10000,37.7570297029703,65.0,1.0,1.0,1.0,52,51.8633
313,10000,38.0839603960396,61.0,1.0,1.0,1.0,61,52.0786
314,10000,39.16930693069307,62.0,1.0,1.0,1.0,51,52.4549
315,10000,37.632277227722774,64.0,1.0,1.0,1.0,46,52.7267
316,10000,39.27861386138614,60.0,1.0,1.0,1.0,38,52.9921
317,10000,38.21980198019802,61.0,1.0,1.0,1.0,39,53.1658
318,10000,38.74811881188119,64.0,1.0,1.0,1.0,46,53.3365
319,10000,38.8590099009901,62.0,1.0,1.0,1.0,42,53.4576
320,10000,37.44237623762376,60.0,1.0,1.0,1.0,43,53.6745
321,10000,40.218217821782176,67.0,1.0,1.0,1.0,43,53.7937
322,10000,39.703366336633664,63.0,1.0,1.0,1.0,43,53.9861
323,10000,39.99029702970297,62.0,1.0,1.0,1.0,51,54.0749
324,10000,40.69148514851485,62.0,1.0,1.0,1.0,51,54.1398
325,10000,40.05564356435644,65.0,1.0,1.0,1.0,55,54.3397
326,10000,41.37227722772277,65.0,1.0,1.0,1.0,55,54.447
327,10000,39.477425742574255,58.0,1.0,1.0,1.0,52,54.5024
328,10000,41.46891089108911,67.0,1.0,1.0,1.0,48,54.6211
329,10000,40.577623762376234,61.0,1.0,1.0,1.0,45,54.8117
330,10000,39.37405940594059,59.0,1.0,1.0,1.0,39,54.8249
331,10000,39.862376237623764,66.0,1.0,1.0,1.0,39,54.83
332,10000,41.151881188118814,66.0,1.0,1.0,1.0,44,55.0175
333,10000,40.433267326732675,61.0,1.0,1.0,1.0,43,55.3007
334,10000,40.105148514851486,64.0,1.0,1.0,1.0,56,55.4026
335,10000,40.6,62.0,1.0,1.0,1.0,43,55.5344
336,10000,42.02356435643564,65.0,1.0,1.0,1.0,44,55.8813
337,10000,40.954257425742576,65.0,1.0,1.0,1.0,40,56.0533
338,10000,41.49960396039604,62.0,1.0,1.0,1.0,40,56.0463
339,10000,42.01346534653465,62.0,1.0,1.0,1.0,42,56.2895
340,10000,41.2570297029703,64.0,1.0,1.0,1.0,41,56.5388
341,10000,41.24277227722772,61.0,1.0,1.0,1.0,52,56.4932
342,10000,40.707524752475244,66.0,1.0,1.0,1.0,52,56.6602
343,10000,40.915841584158414,65.0,1.0,1.0,1.0,46,56.6496
344,10000,41.446930693069305,59.0,1.0,1.0,1.0,55,56.8877
345,10000,41.35742574257426,64.0,1.0,1.0,1.0,57,56.9967
346,10000,42.838019801980195,63.0,1.0,1.0,1.0,48,57.0865
347,10000,43.29445544554456,65.0,1.0,1.0,1.0,52,57.2375
348,10000,43.424554455445545,64.0,1.0,1.0,1.0,49,57.2791
349,10000,42.33227722772277,60.0,1.0,1.0,1.0,50,57.4125
350,10000,41.79445544554456,66.0,1.0,1.0,1.0,59,57.523
351,10000,42.35049504950495,65.0,1.0,1.0,1.0,56,57.7068
352,10000,40.6780198019802,63.0,1.0,1.0,1.0,66,57.9091
353,10000,42.27920792079208,66.0,1.0,1.0,1.0,52,58.4044
354,10000,43.72019801980198,69.0,1.0,1.0,1.0,57,58.5354
355,10000,42.724950495049505,68.0,1.0,1.0,1.0,53,58.7392
356,10000,41.18336633663366,66.0,1.0,1.0,1.0,49,59.057
357,10000,42.48910891089109,64.0,1.0,1.0,1.0,51,59.3831
358,10000,42.80792079207921,66.0,1.0,1.0,1.0,45,59.4753
359,10000,42.55465346534653,67.0,1.0,1.0,1.0,51,59.6628
360,10000,44.28118811881188,66.0,1.0,1.0,1.0,50,59.6804
361,10000,43.3619801980198,68.0,1.0,1.0,1.0,48,59.8914
362,10000,44.784554455445544,66.0,1.0,1.0,1.0,46,60.0771
363,10000,45.407128712871284,64.0,1.0,1.0,1.0,44,60.2895
364,10000,46.11643564356436,65.0,1.0,1.0,1.0,40,60.3763
365,10000,43.911683168316834,67.0,1.0,1.0,1.0,45,60.6407
366,10000,43.73623762376238,61.0,1.0,1.0,1.0,50,60.858
367,10000,45.0419801980198,68.0,1.0,1.0,1.0,39,60.9229
368,10000,45.49960396039604,66.0,1.0,1.0,1.0,39,61.1011
369,10000,44.352079207920795,69.0,1.0,1.0,1.0,43,61.1123
370,10000,44.67168316831683,66.0,1.0,1.0,1.0,45,61.1675
371,10000,45.93207920792079,68.0,1.0,1.0,1.0,41,61.4047
372,10000,44.42,65.0,1.0,1.0,1.0,40,61.6714
373,10000,44.95029702970297,66.0,1.0,1.0,1.0,37,61.8382
374,10000,45.816435643564354,69.0,1.0,1.0,1.0,38,62.0321
375,10000,45.51287128712871,68.0,1.0,1.0,1.0,40,62.1688
376,10000,44.30574257425742,66.0,1.0,1.0,1.0,36,62.2154
377,10000,46.00118811881188,66.0,1.0,1.0,1.0,48,62.5943
378,10000,44.70633663366337,69.0,1.0,1.0,1.0,47,62.8642
379,10000,46.17920792079208,65.0,1.0,1.0,1.0,41,63.057
380,10000,46.558613861386135,68.0,1.0,1.0,1.0,42,62.9981
381,10000,47.03663366336634,68.0,1.0,1.0,1.0,38,63.123
