generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
279,10000,31.456633663366336,50.0,1.0,1.0,1.0,46,45.5799
280,10000,29.788712871287128,49.0,1.0,1.0,1.0,44,45.8879
281,10000,32.70514851485149,54.0,1.0,1.0,1.0,48,46.0443
282,10000,31.404356435643564,51.0,1.0,1.0,1.0,52,46.1837
283,10000,31.13009900990099,52.0,1.0,1.0,1.0,43,46.4738
284,10000,31.516237623762375,53.0,1.0,1.0,1.0,42,46.9285
285,10000,29.72910891089109,51.0,1.0,1.0,1.0,38,47.2139
286,10000,32.038217821782176,51.0,1.0,1.0,1.0,36,47.4519
287,10000,30.9990099009901,49.0,1.0,1.0,1.0,36,47.5276
288,10000,31.628712871287128,49.0,1.0,1.0,1.0,35,47.7489
289,10000,33.17722772277228,55.0,1.0,1.0,1.0,43,47.9571
290,10000,30.244356435643564,49.0,1.0,1.0,1.0,44,48.0951
291,10000,32.025940594059406,47.0,1.0,1.0,1.0,46,48.1565
292,10000,31.6790099009901,52.0,1.0,1.0,1.0,55,48.2337
293,10000,31.462772277227725,47.0,1.0,1.0,1.0,42,48.3365
294,10000,31.56079207920792,51.0,1.0,1.0,1.0,43,48.4027
295,10000,32.097821782178215,50.0,1.0,1.0,1.0,43,48.7313
296,10000,32.76376237623762,55.0,1.0,1.0,1.0,46,48.9625
297,10000,32.724950495049505,55.0,1.0,1.0,1.0,40,48.9981
298,10000,31.83089108910891,50.0,1.0,1.0,1.0,39,49.1962
299,10000,32.858217821782176,52.0,1.0,1.0,1.0,38,49.2854
300,10000,31.481188118811883,51.0,1.0,1.0,1.0,51,49.3112
301,10000,32.70910891089109,53.0,1.0,1.0,1.0,37,49.5457
302,10000,34.218217821782176,57.0,1.0,1.0,1.0,41,49.6826
303,10000,31.663762376237624,53.0,1.0,1.0,1.0,44,49.9644
304,10000,32.517227722772276,52.0,1.0,1.0,1.0,42,49.9599
305,10000,32.27009900990099,49.0,1.0,1.0,1.0,51,50.1041
306,10000,33.09920792079208,53.0,1.0,1.0,1.0,40,50.3199
307,10000,33.79643564356436,54.0,1.0,1.0,1.0,36,50.5533
308,10000,34.207326732673266,50.0,1.0,1.0,1.0,39,50.691
